index	table_id	annotator_id	premise	hypothesis_wswap	label
6589	T1070	GW28	 Chechen Republic of Ichkeria is a country.  The status was on Government-in-exile from 2000-2007.  The religion was on State secularism  (1991-1996)  , Sunni Islam  (1996-2000).  The government of Chechen Republic of Ichkeria is Republic  (1991-1996)  , Islamic republic  (1996-2000). 	Chechen Republic of Ichkeria is a secular state with a populace peaceful.	0
15097	T2558	GW116	 In the box office, Sin City: A Dame to Kill For made $39.4 million.   The release date of Sin City: A Dame to Kill For are August 19, 2014 (2014-08-19) (TCL Chinese Theatre), August 22, 2014 (2014-08-22) (United States).  The running time of Sin City: A Dame to Kill For is 102 minutes.  The budget of Sin City: A Dame to Kill For is $65 million. 	Sin City: A Dame to Kill For directors 6 had.	0
15070	T2555	GW122	 The genre of SeaFrance is Ferry company.  SeaFrance was founded on 1996.  The founder of SeaFrance is SNCF.  SeaFrance was defunct on 9 January 2012. 	The Company was 1998 in the year founded.	0
15334	T2586	GW86	 The website of Pioneer Food Group Limited is www .pioneerfoods .co .za.   The headquarters of Pioneer Food Group Limited is Tygervalley, South Africa.  The area served of Pioneer Food Group Limited is Southern Africa, Nigeria, United Kingdom.  The key people of Pioneer Food Group Limited is TA Carstens CEO, ZL Combi Chairman, Felix Lombard CFO. 	Pioneer Food Group Limited's CEO functions also as its CFO.	0
10576	T1764	GW84	 Innervisions is a album.  The studio of Innervisions are The Record Plant   (Los Angeles, California), Media Sound Studios   (New York City, New York).  The genre of Innervisions are Soul, funk, rock, jazz.  The label of Innervisions is Tamla. 	Innervisions was a hard album rock.	0
10597	T1767	GW93	 The in office of Hillary Clinton was on January 21, 2009 – February 1, 2013.  The president of Hillary Clinton is Barack Obama.  The deputy of Hillary Clinton are John Negroponte, James Steinberg, William Joseph Burns.  The succeeded by of Hillary Clinton is John Kerry.  	Hillary Clinton under served Barack Obama until 2012.	0
9490	T1519	GW84	 The labels of John Legend are GOOD, Sony, Columbia.  The associated acts of John Legend are Common, Dave Tozer, Estelle, Kanye West, Rick Ross, The Roots, will.i.am.  The years active of John Legend is 2000-present.  The number of children of John Legend are 2. 	John Legend is single still.	0
9463	T1509	GW85	 The spouse(s) of Jessica Simpson are Nick Lachey ( m.  2002;  div.  2006), Eric Johnson  ( m.  2014).  The birth name of Jessica Simpson is Jessica Ann Simpson.  The number of children of Jessica Simpson are 2.  The relatives of Jessica Simpson is Ashlee Simpson (sister). 	Jessica Simpson does not children have.	0
10066	T1648	GW84	 Jonas Brothers was also known as JB, JoBros.  The origin of Jonas Brothers is Wyckoff, New Jersey, U.S..  The years active of Jonas Brothers was on 2005-2013.  The associated acts of Jonas Brothers are Demi Lovato, Nick Jonas &amp; the Administration, DNCE. 	Jonas Brothers together performed for over ten years.	0
16210	T2683	GW107	 The owner of Hathway Cable & Datacom Ltd is Reliance Industries Limited (71.95%).  The type of Hathway Cable & Datacom Ltd is Public company.  The industry of Hathway Cable & Datacom Ltd is Telecommunications, , Broadcasting.  The products of Hathway Cable & Datacom Ltd are Cable television, Broadband Internet, Digital voice, Home networking. 	Hathway Cable & Datacom Ltd is a company private.	0
5980	T985	GW59	 Calvert Extra is a food&drink.  The type of Calvert Extra is Blended whiskey.  The alcohol by volume of Calvert Extra is 40.00%.  The related products of Calvert Extra is Calvert.  	Calvert Extra has a low content alcohol.	0
10054	T1645	GW14	 Jupiter Ascending is a movie.  The release date of Jupiter Ascending are January 27, 2015 ( 2015-01-27 )  (Sundance Film Festival), February 6, 2015 ( 2015-02-06 )  (United States), February 19, 2015( 2015-02-19 )  (Australia).  Jupiter Ascending was starring Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth.  The production company of Jupiter Ascending are Village Roadshow Pictures, RatPac-Dune Entertainment, Anarchos Productions.  	Anarchos Productions has never had a shown film at the Sundance Film Festival.	0
9826	T1595	GW84	 The associated acts of John Frusciante are Red Hot Chili Peppers, Ataxia, Josh Klinghoffer, the Mars Volta, Omar Rodriguez-Lopez, Wu-Tang Clan, Black Knights, Venetian Snares, Duran Duran, Johnny Marr, Warpaint.  The birth name of John Frusciante is John Anthony Frusciante.  John Frusciante was born on ( 1970-03-05 )  March 5, 1970  (age 48)  Queens, New York City, United States.  The labels of John Frusciante are Warner Bros.,, Record Collection, Birdman, American Recordings, Funk Soul Recordings, Neurotic Yell Records, Acid Test. 	John Frusciante was born on the coast west.	0
5977	T985	GW51	 The type of Calvert Extra is Blended whiskey.  The manufacturer of Calvert Extra is Luxco.  The country of origin of Calvert Extra is Clermont, Kentucky United States.  The related products of Calvert Extra is Calvert.  	Calvert Extra has been manufactured by multiple different manufacturers and companies.	0
10561	T1761	GW86	 Isle of Man is a country.  The official languages of Isle of Man are English ( de facto ), Manx (Traditional).  The establishment was on 1765.   The government of Isle of Man is Parliamentary democratic constitutional monarchy with a de facto non-partisan democracy. 	The Isle of Man was century in the 17th established.	0
9874	T1606	GW4	 Katy Perry was born on October 25, 1984  (age 34)   Santa Barbara, California, U.S..  The birth name of Katy Perry is Katheryn Elizabeth Hudson.  The other names of Katy Perry are Katy Hudson, Katheryn Perry.  The occupation of Katy Perry are Singer, songwriter, actress, businesswoman, philanthropist, television judge. 	Katy Perry uses her legal name for her name stage.	0
10048	T1645	GW84	 Jupiter Ascending was distributed by Warner Bros. Pictures, Roadshow Entertainment,  (Australia &amp; New Zealand).  The release date of Jupiter Ascending are January 27, 2015 ( 2015-01-27 )  (Sundance Film Festival), February 6, 2015 ( 2015-02-06 )  (United States), February 19, 2015( 2015-02-19 )  (Australia).  Jupiter Ascending was produced by Grant Hill, The Wachowskis.  The country of Jupiter Ascending are United States, Australia. 	Jupiter Ascending was only country in one released.	0
6052	T994	GW32	 The publisher of Brightest Day is DC Comics.  The format of Brightest Day is Limited series.  The genre of Brightest Day is Superhero.  The main character(s) of Brightest Day are Arthur Curry ,  George 'Digger' Harkness ,  Boston Brand ,  Hal Jordan ,  Ronnie Raymond , Jason Rusch ,  Hank Hall ,  Shiera Hall,  Carter Hall ,  Jade ,  J'onn J'onzz ,  Maxwell Lord ,  Osiris ,  Eobard Thawne ,  Dawn Granger.  	The Brightest Day was a long series comic running.	0
16207	T2683	GW110	 The owner of Hathway Cable & Datacom Ltd is Reliance Industries Limited (71.95%).  The type of Hathway Cable & Datacom Ltd is Public company.  The traded as of Hathway Cable & Datacom Ltd is NSE: HATHWAY BSE: 533162.  The industry of Hathway Cable & Datacom Ltd is Telecommunications, , Broadcasting. 	Hathway Cable & Datacom is a company telecommunications that is not publicly traded.	0
10069	T1648	GW85	 Jonas Brothers was also known as JB, JoBros.  The labels of Jonas Brothers are Walt Disney, Hollywood, Columbia, Universal, Jonas.  The associated acts of Jonas Brothers are Demi Lovato, Nick Jonas &amp; the Administration, DNCE.  The website of Jonas Brothers is jonasbrothers .com.  	Jonas Brothers do not website a have.	0
10234	T1708	GW1	 John Deere was born on ( 1804-02-07 ) February 7, 1804  Rutland, Vermont.  John Deere died on May 17, 1886 (1886-05-17)  (aged 82)  Red Cliff in Moline, Illinois.  John Deere was known for Deere & Company, steel plow.  The children of John Deere are Francis Albert (1828-1848), Jeanette (1830-1916), Ellen Sarah (1832-1897), Frances Alma (1834-1851), Charles (1836-1907), Emma Charlotte (1840-1911), Hiram Alvin (1842-1844), Alice Marie (1844-1900), Mary Frances (1851-1851).  	John Deere 1886 in the Fall of died.	0
16054	T2666	GW122	 The Consequences of Love is a movie.  The Consequences of Love was starring Toni Servillo , Olivia Magnani , Adriano Giannini , Gianna Paola Scaffidi , Raffaele Pisu.  The cinematography of The Consequences of Love was by Luca Bigazzi.  The release date of The Consequences of Love is 2004 (2004). 	The Movie is 2019 in released.	0
16057	T2666	GW123	 The Consequences of Love was directed by Paolo Sorrentino.  The Consequences of Love was written by Paolo Sorrentino.  The Consequences of Love was starring Toni Servillo , Olivia Magnani , Adriano Giannini , Gianna Paola Scaffidi , Raffaele Pisu.  The country of The Consequences of Love is Italy. 	The Consequences of Love originated is in UK	0
16060	T2666	GW1	 The country of The Consequences of Love is Italy.  The language of The Consequences of Love is Italian.   The Consequences of Love was written by Paolo Sorrentino.  The Consequences of Love was music by Pasquale Catalano. 	The language predominant of The Consequences of Love was not Italian.	0
10228	T1708	GW86	 John Deere was born on ( 1804-02-07 ) February 7, 1804  Rutland, Vermont.  John Deere died on May 17, 1886 (1886-05-17)  (aged 82)  Red Cliff in Moline, Illinois.  The education of John Deere is Middlebury College.  The children of John Deere are Francis Albert (1828-1848), Jeanette (1830-1916), Ellen Sarah (1832-1897), Frances Alma (1834-1851), Charles (1836-1907), Emma Charlotte (1840-1911), Hiram Alvin (1842-1844), Alice Marie (1844-1900), Mary Frances (1851-1851).  	John Deere entire his spent life in Vermont.	0
6076	T999	GW66	 Campari is a food&drink.  The type of Campari is Bitters.  The alcohol by volume of Campari is 20.5-28%.  The flavour of Campari is Bitter, spicy and sweet. 	The amount of alcohol by volume is consistent always.	0
